/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-101.maverick2.tacc.utexas.edu
Tue Oct 25 11:35:09 CDT 2022
start training unet 256
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-25 11:36:59.628483 epoch 1: loss: 0.01214 | coarse loss: 0.00435
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-25 13:47:05.945126 epoch 177: loss: 0.00180 | coarse loss: 0.00435
2022-10-25 13:47:50.180967 epoch 178: loss: 0.00181 | coarse loss: 0.00434
2022-10-25 13:48:34.934943 epoch 179: loss: 0.00182 | coarse loss: 0.00434
2022-10-25 13:49:19.730074 epoch 180: loss: 0.00180 | coarse loss: 0.00434
2022-10-25 13:50:04.474706 epoch 181: loss: 0.00179 | coarse loss: 0.00434
2022-10-25 13:50:48.870628 epoch 182: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 13:51:33.297536 epoch 183: loss: 0.00179 | coarse loss: 0.00435
2022-10-25 13:52:17.645787 epoch 184: loss: 0.00180 | coarse loss: 0.00434
2022-10-25 13:53:01.879184 epoch 185: loss: 0.00181 | coarse loss: 0.00434
2022-10-25 13:53:46.602957 epoch 186: loss: 0.00179 | coarse loss: 0.00435
2022-10-25 13:54:30.900039 epoch 187: loss: 0.00180 | coarse loss: 0.00434
2022-10-25 13:55:15.335353 epoch 188: loss: 0.00181 | coarse loss: 0.00435
2022-10-25 13:55:59.840948 epoch 189: loss: 0.00180 | coarse loss: 0.00434
2022-10-25 13:56:44.303613 epoch 190: loss: 0.00179 | coarse loss: 0.00435
2022-10-25 13:57:28.668538 epoch 191: loss: 0.00177 | coarse loss: 0.00434
2022-10-25 13:58:13.215938 epoch 192: loss: 0.00179 | coarse loss: 0.00435
2022-10-25 13:58:57.720500 epoch 193: loss: 0.00210 | coarse loss: 0.00435
2022-10-25 13:59:42.166623 epoch 194: loss: 0.00182 | coarse loss: 0.00434
2022-10-25 14:00:26.442903 epoch 195: loss: 0.00180 | coarse loss: 0.00435
2022-10-25 14:01:10.812798 epoch 196: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 14:01:55.148751 epoch 197: loss: 0.00180 | coarse loss: 0.00435
2022-10-25 14:02:39.463349 epoch 198: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 14:03:23.849226 epoch 199: loss: 0.00177 | coarse loss: 0.00435
2022-10-25 14:04:08.650553 epoch 200: loss: 0.00176 | coarse loss: 0.00436
2022-10-25 14:04:52.948638 epoch 201: loss: 0.00176 | coarse loss: 0.00435
2022-10-25 14:05:37.730722 epoch 202: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 14:06:22.128930 epoch 203: loss: 0.00176 | coarse loss: 0.00436
2022-10-25 14:07:06.950566 epoch 204: loss: 0.00175 | coarse loss: 0.00435
2022-10-25 14:07:51.215633 epoch 205: loss: 0.00176 | coarse loss: 0.00435
2022-10-25 14:08:35.589454 epoch 206: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:09:19.943162 epoch 207: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 14:10:04.214007 epoch 208: loss: 0.00180 | coarse loss: 0.00434
2022-10-25 14:10:48.828229 epoch 209: loss: 0.00176 | coarse loss: 0.00435
2022-10-25 14:11:33.116195 epoch 210: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:12:17.462929 epoch 211: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:13:01.738022 epoch 212: loss: 0.00177 | coarse loss: 0.00435
2022-10-25 14:13:45.942727 epoch 213: loss: 0.00181 | coarse loss: 0.00434
2022-10-25 14:14:30.136620 epoch 214: loss: 0.00174 | coarse loss: 0.00436
2022-10-25 14:15:14.654045 epoch 215: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:15:59.134443 epoch 216: loss: 0.00177 | coarse loss: 0.00435
2022-10-25 14:16:43.510244 epoch 217: loss: 0.00175 | coarse loss: 0.00434
2022-10-25 14:17:27.916950 epoch 218: loss: 0.00174 | coarse loss: 0.00434
2022-10-25 14:18:12.207373 epoch 219: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:18:56.534043 epoch 220: loss: 0.00178 | coarse loss: 0.00435
2022-10-25 14:19:41.110618 epoch 221: loss: 0.00173 | coarse loss: 0.00434
2022-10-25 14:20:25.900572 epoch 222: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:21:09.987949 epoch 223: loss: 0.00175 | coarse loss: 0.00435
2022-10-25 14:21:54.186346 epoch 224: loss: 0.00176 | coarse loss: 0.00436
2022-10-25 14:22:38.418335 epoch 225: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:23:22.829693 epoch 226: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:24:06.925305 epoch 227: loss: 0.00175 | coarse loss: 0.00435
2022-10-25 14:24:51.238196 epoch 228: loss: 0.00172 | coarse loss: 0.00434
2022-10-25 14:25:35.579980 epoch 229: loss: 0.00172 | coarse loss: 0.00434
2022-10-25 14:26:19.677959 epoch 230: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:27:03.850304 epoch 231: loss: 0.00179 | coarse loss: 0.00435
2022-10-25 14:27:48.169859 epoch 232: loss: 0.00175 | coarse loss: 0.00435
2022-10-25 14:28:32.289775 epoch 233: loss: 0.00174 | coarse loss: 0.00435
2022-10-25 14:29:16.623675 epoch 234: loss: 0.00172 | coarse loss: 0.00435
2022-10-25 14:30:00.668278 epoch 235: loss: 0.00171 | coarse loss: 0.00435
2022-10-25 14:30:45.353443 epoch 236: loss: 0.00171 | coarse loss: 0.00436
2022-10-25 14:31:29.718935 epoch 237: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:32:13.918705 epoch 238: loss: 0.00171 | coarse loss: 0.00434
2022-10-25 14:32:58.118903 epoch 239: loss: 0.00170 | coarse loss: 0.00435
2022-10-25 14:33:42.402024 epoch 240: loss: 0.00172 | coarse loss: 0.00434
2022-10-25 14:34:26.826131 epoch 241: loss: 0.00172 | coarse loss: 0.00434
2022-10-25 14:35:11.237992 epoch 242: loss: 0.00171 | coarse loss: 0.00434
2022-10-25 14:35:55.660577 epoch 243: loss: 0.00173 | coarse loss: 0.00435
2022-10-25 14:36:40.077015 epoch 244: loss: 0.00169 | coarse loss: 0.00435
2022-10-25 14:37:24.326006 epoch 245: loss: 0.00170 | coarse loss: 0.00434
2022-10-25 14:38:09.214466 epoch 246: loss: 0.00172 | coarse loss: 0.00435
2022-10-25 14:38:53.274836 epoch 247: loss: 0.00170 | coarse loss: 0.00435
2022-10-25 14:39:37.775313 epoch 248: loss: 0.00170 | coarse loss: 0.00434
2022-10-25 14:40:22.108168 epoch 249: loss: 0.00171 | coarse loss: 0.00436
2022-10-25 14:41:06.888433 epoch 250: loss: 0.00171 | coarse loss: 0.00436
2022-10-25 14:41:51.347691 epoch 251: loss: 0.00168 | coarse loss: 0.00434
2022-10-25 14:42:35.650701 epoch 252: loss: 0.00170 | coarse loss: 0.00435
2022-10-25 14:43:19.894412 epoch 253: loss: 0.00171 | coarse loss: 0.00436
2022-10-25 14:44:04.098146 epoch 254: loss: 0.00169 | coarse loss: 0.00434
2022-10-25 14:44:48.526156 epoch 255: loss: 0.00170 | coarse loss: 0.00435
2022-10-25 14:45:32.655059 epoch 256: loss: 0.00168 | coarse loss: 0.00434
2022-10-25 14:46:17.283818 epoch 257: loss: 0.00169 | coarse loss: 0.00435
2022-10-25 14:47:01.347237 epoch 258: loss: 0.00171 | coarse loss: 0.00434
2022-10-25 14:47:45.545747 epoch 259: loss: 0.00169 | coarse loss: 0.00436
2022-10-25 14:48:29.791659 epoch 260: loss: 0.00169 | coarse loss: 0.00436
2022-10-25 14:49:13.993098 epoch 261: loss: 0.00168 | coarse loss: 0.00434
